,y_true,y_pred
0,1.0,1.0
1,0.0,0.12379491329193115
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,1.0,0.5424213409423828
7,1.0,1.0
8,0.0,0.0
9,1.0,0.9249026775360107
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.24781480431556702
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,1.0,1.0
19,0.0,0.34912872314453125
20,1.0,1.0
21,1.0,0.37381720542907715
22,0.0,0.0
23,0.0,0.24061614274978638
24,1.0,1.0
25,0.0,0.0
26,1.0,1.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.6007664799690247
30,0.0,0.10938078165054321
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.897274374961853
35,1.0,1.0
36,0.0,0.019330203533172607
37,0.0,0.0
38,0.0,0.0
39,0.0,0.47474589943885803
40,1.0,1.0
41,0.0,0.6173385977745056
42,0.0,0.3404306173324585
43,0.0,0.12534385919570923
44,0.0,0.0
45,0.0,0.23230519890785217
46,0.0,0.0
47,1.0,0.9918242692947388
48,1.0,1.0
49,1.0,1.0
50,1.0,1.0
51,0.0,0.30960363149642944
52,1.0,0.8778629302978516
53,0.0,0.8534139394760132
54,1.0,1.0
55,1.0,1.0
56,0.0,0.6813260912895203
57,0.0,0.0
58,1.0,0.4627920091152191
59,1.0,0.7501253485679626
60,0.0,0.0
61,0.0,0.0
62,1.0,1.0
63,1.0,1.0
64,1.0,1.0
65,0.0,0.05146196484565735
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,1.0,1.0
70,1.0,0.6813041567802429
71,0.0,0.0
72,1.0,1.0
73,0.0,0.7251258492469788
74,1.0,1.0
75,1.0,1.0
76,0.0,0.0
77,0.0,0.0
78,1.0,1.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,1.0,0.9135626554489136
83,1.0,0.6350120306015015
84,1.0,1.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.07169359922409058
88,1.0,1.0
89,1.0,1.0
90,0.0,0.5364519953727722
91,1.0,0.8628237247467041
92,1.0,1.0
93,1.0,1.0
94,1.0,1.0
95,1.0,1.0
96,0.0,0.0
97,1.0,1.0
98,1.0,1.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,1.0,1.0
103,0.0,0.0
104,1.0,1.0
105,1.0,1.0
106,0.0,0.0
107,1.0,1.0
108,1.0,1.0
109,0.0,0.0
110,0.0,0.0
111,1.0,1.0
112,0.0,0.0
113,0.0,0.45072710514068604
114,1.0,1.0
115,0.0,0.0
116,0.0,0.43053239583969116
117,0.0,0.0
118,0.0,0.432819128036499
119,1.0,0.6235240697860718
120,1.0,0.9726988077163696
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,1.0,1.0
125,1.0,1.0
126,1.0,1.0
127,1.0,1.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.1882300078868866
131,0.0,0.0
132,1.0,0.8158663511276245
133,0.0,0.0
134,1.0,1.0
135,1.0,0.7138120532035828
136,1.0,1.0
137,0.0,0.0
138,1.0,1.0
139,1.0,1.0
140,0.0,0.046599388122558594
141,0.0,0.32554423809051514
142,1.0,0.44735032320022583
143,0.0,0.0
144,1.0,1.0
145,0.0,0.265957236289978
146,1.0,1.0
147,1.0,0.5672740340232849
148,1.0,1.0
149,1.0,1.0
150,1.0,0.9880788922309875
151,1.0,0.988589882850647
152,0.0,0.25169140100479126
153,0.0,0.0
154,0.0,0.0
155,1.0,1.0
156,1.0,1.0
157,0.0,0.0
158,0.0,0.0
159,1.0,1.0
160,0.0,0.0
161,0.0,0.0
162,1.0,1.0
163,1.0,1.0
164,0.0,0.05744102597236633
165,1.0,0.6810312271118164
166,1.0,1.0
167,1.0,0.27995508909225464
168,1.0,0.875759482383728
169,1.0,1.0
170,0.0,0.0
171,1.0,1.0
172,1.0,1.0
173,1.0,1.0
174,0.0,0.0
175,1.0,1.0
176,1.0,1.0
177,0.0,0.0
178,0.0,0.936536431312561
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,1.0,1.0
183,0.0,0.47970521450042725
184,0.0,0.0
185,0.0,0.0
186,0.0,0.2606589198112488
187,0.0,0.0
188,0.0,0.0
189,0.0,0.11199676990509033
190,0.0,0.0
191,1.0,1.0
192,0.0,0.574321448802948
193,0.0,0.0
194,0.0,0.0
195,1.0,0.9549615383148193
196,1.0,1.0
197,0.0,0.0
198,1.0,1.0
199,1.0,1.0
200,0.0,0.0
201,0.0,0.15902408957481384
202,0.0,0.09580686688423157
203,1.0,0.7609086632728577
204,1.0,1.0
205,0.0,0.0
206,0.0,0.0
207,1.0,1.0
208,1.0,0.5049871206283569
209,1.0,0.808342695236206
210,0.0,0.0
211,0.0,0.0
212,1.0,1.0
213,0.0,0.0
214,0.0,0.638830840587616
215,0.0,0.0
216,0.0,0.6131821870803833
217,1.0,1.0
218,1.0,1.0
219,1.0,1.0
220,1.0,1.0
221,1.0,1.0
222,0.0,0.40815621614456177
223,1.0,1.0
224,1.0,1.0
225,0.0,0.0
226,1.0,1.0
227,1.0,0.570559561252594
228,0.0,0.0
229,0.0,0.0
230,1.0,0.7657748460769653
231,1.0,1.0
232,0.0,0.0
233,1.0,0.5715047717094421
234,1.0,1.0
235,0.0,0.0
236,0.0,0.0
237,1.0,1.0
238,1.0,0.5816454291343689
239,0.0,0.0
240,0.0,0.9420983791351318
241,0.0,0.0
242,0.0,0.0
243,0.0,0.0
244,0.0,0.6082729697227478
245,1.0,1.0
246,1.0,1.0
247,1.0,1.0
248,1.0,1.0
249,1.0,0.8925825357437134
250,1.0,0.8808557987213135
251,0.0,0.0
252,0.0,0.0
253,1.0,1.0
254,0.0,0.33456194400787354
255,0.0,0.0
256,0.0,0.0
257,0.0,0.0
258,1.0,1.0
259,1.0,1.0
260,0.0,0.0
261,0.0,0.0
262,1.0,1.0
263,1.0,1.0
264,0.0,0.6909449100494385
265,0.0,0.0
266,0.0,0.0
267,0.0,0.0
268,0.0,0.0
269,0.0,0.0
270,0.0,0.0
271,0.0,0.4926612973213196
272,1.0,1.0
273,1.0,1.0
274,1.0,0.7355765104293823
275,1.0,1.0
276,1.0,1.0
277,0.0,0.17795050144195557
278,1.0,1.0
279,1.0,0.8414283990859985
280,0.0,0.1980268657207489
281,0.0,0.0
282,1.0,0.706057071685791
283,1.0,1.0
284,1.0,1.0
285,0.0,0.0
286,1.0,1.0
287,1.0,0.767507791519165
288,1.0,1.0
289,0.0,0.0
290,1.0,1.0
291,1.0,0.4280104339122772
292,1.0,1.0
293,1.0,1.0
294,0.0,0.0
295,0.0,0.0
296,1.0,1.0
297,1.0,1.0
298,0.0,0.21000483632087708
299,0.0,0.0
300,1.0,1.0
301,0.0,0.0
302,0.0,0.5417921543121338
303,1.0,1.0
304,0.0,0.5423784255981445
305,0.0,0.0
306,1.0,1.0
307,1.0,0.6099244356155396
308,0.0,0.0
309,1.0,1.0
310,1.0,1.0
311,0.0,0.0
312,0.0,0.0
313,0.0,0.0
314,1.0,1.0
315,0.0,0.0
316,0.0,0.0
317,1.0,1.0
318,1.0,1.0
319,0.0,0.0
320,1.0,0.9692093133926392
321,1.0,1.0
322,0.0,0.0
323,1.0,1.0
324,0.0,0.0
325,0.0,0.0
326,0.0,0.0
327,1.0,0.6268222332000732
328,1.0,1.0
329,1.0,0.7058095932006836
330,0.0,0.6684660315513611
331,0.0,0.0
332,1.0,1.0
333,1.0,1.0
334,0.0,0.0
335,1.0,1.0
336,0.0,0.1109149158000946
337,1.0,0.7983584403991699
338,1.0,1.0
339,0.0,0.0
340,0.0,0.6378289461135864
341,1.0,1.0
